IDD	0	-60	2
IDD	0	-58	1
IDD	0	-46	1
IDD	0	-40	1
IDD	0	-31	1
IDD	0	-29	1
IDD	0	-26	2
IDD	0	-24	2
IDD	0	-23	1
IDD	0	-22	3
IDD	0	-20	3
IDD	0	-19	1
IDD	0	-18	3
IDD	0	-17	3
IDD	0	-16	4
IDD	0	-15	1
IDD	0	-14	4
IDD	0	-13	2
IDD	0	-12	8
IDD	0	-11	6
IDD	0	-10	8
IDD	0	-9	6
IDD	0	-8	14
IDD	0	-7	2
IDD	0	-6	15
IDD	0	-5	16
IDD	0	-4	44
IDD	0	-3	15
IDD	0	-2	62
IDD	0	-1	87
IDD	0	1	83
IDD	0	2	61
IDD	0	3	32
IDD	0	4	62
IDD	0	5	14
IDD	0	6	32
IDD	0	7	4
IDD	0	8	19
IDD	0	9	8
IDD	0	10	11
IDD	0	11	6
IDD	0	12	21
IDD	0	13	1
IDD	0	14	5
IDD	0	15	1
IDD	0	16	7
IDD	0	17	1
IDD	0	18	2
IDD	0	20	3
IDD	0	22	2
IDD	0	24	5
IDD	0	25	2
IDD	0	29	2
IDD	0	34	2
IDD	0	36	2
IDD	0	38	1
