IDD	0	-60	1
IDD	0	-50	1
IDD	0	-49	1
IDD	0	-40	1
IDD	0	-34	1
IDD	0	-32	1
IDD	0	-31	1
IDD	0	-30	1
IDD	0	-29	2
IDD	0	-28	2
IDD	0	-26	1
IDD	0	-22	2
IDD	0	-21	2
IDD	0	-20	4
IDD	0	-19	2
IDD	0	-18	1
IDD	0	-17	2
IDD	0	-16	2
IDD	0	-15	4
IDD	0	-14	3
IDD	0	-13	3
IDD	0	-12	10
IDD	0	-11	8
IDD	0	-10	8
IDD	0	-9	7
IDD	0	-8	11
IDD	0	-7	2
IDD	0	-6	24
IDD	0	-5	26
IDD	0	-4	59
IDD	0	-3	32
IDD	0	-2	50
IDD	0	-1	89
IDD	0	1	84
IDD	0	2	75
IDD	0	3	31
IDD	0	4	66
IDD	0	5	17
IDD	0	6	30
IDD	0	7	14
IDD	0	8	17
IDD	0	9	9
IDD	0	10	14
IDD	0	11	4
IDD	0	12	19
IDD	0	13	1
IDD	0	14	11
IDD	0	15	4
IDD	0	16	7
IDD	0	17	1
IDD	0	18	3
IDD	0	20	3
IDD	0	24	8
IDD	0	25	3
IDD	0	26	2
IDD	0	30	1
IDD	0	38	1
